text;created_at;retweet_count;favorite_count;is_retweet;sentiment
Join me LIVE in Washington Michigan at 7:00pmE on @FoxNews! #MAGA;04-28-2018 22:45:49;8470;49947;false;Neutral
House Intelligence Committee rules that there was NO COLLUSION between the Trump Campaign and Russia. As I have been saying all along it is all a big Hoax by the Democrats based on payments and lies. There should never have been a Special Counsel appointed. Witch Hunt!;04-28-2018 02:04:31;27256;112080;false;Neutral
House Intelligence Committee rules that there was NO COLLUSION between the Trump Campaign and Russia. As I have been saying all along it is all a big Hoax by the Democrats based on payments and lies. There should never have been a Special Councel appointed. Witch Hunt!;04-28-2018 01:19:53;7240;26462;false;Neutral
I urge all Americans to participate in #takebackday tomorrow! Let’s come together and BEAT last October’s record of disposed prescription pills! Visit https://t.co/QCG7bHvvxd to learn more on how to participate Saturday and every day. https://t.co/W00YxL1RwK;04-27-2018 19:23:23;11768;48498;false;Neutral
After a furious year of missile launches and Nuclear testing a historic meeting between North and South Korea is now taking place. Good things are happening but only time will tell!;04-27-2018 10:41:23;25382;119052;false;Neutral
MAGA! https://t.co/jFf5ONASlv;04-25-2018 21:18:51;60613;232817;false;Neutral
Americans stand with you and all of Canada Prime Minister @JustinTrudeau. Our thoughts and prayers are with you all. #TorontoStrong https://t.co/Xo3Cn962z8;04-24-2018 17:56:10;7020;39232;false;Neutral
A complete Witch Hunt!;04-22-2018 17:23:41;20189;96235;false;Neutral
“At least two Memos Comey shared with a friend contained Classified Information.”  Wall Street Journal;04-21-2018 22:30:45;22246;88997;false;Neutral
Today my thoughts and prayers are with the entire Bush family. In memory of First Lady Barbara Bush there is a remembrance display located at her portrait in the Center Hall of the @WhiteHouse. https://t.co/AuJ3RLZyax;04-21-2018 15:45:24;13093;78766;false;Neutral
Join me in Washington Michigan on Saturday April 28 2018 at 7:00pm! #MAGA Tickets: https://t.co/DISosdqBuu https://t.co/gHdTgHw5FU;04-21-2018 13:18:58;10893;41012;false;Neutral
"....non-existent “sources” and a drunk/drugged up loser who hates Michael a fine person with a wonderful family. Michael is a businessman for his own account/lawyer who I have always liked &amp; respected. Most people will flip if the Government lets them out of trouble even if....";04-21-2018 13:10:01;10799;49377;false;Neutral
