text;created_at;retweet_count;favorite_count;is_retweet;sentiment
I recently had a terrific meeting with a bipartisan group of freshman lawmakers who feel very strongly in favor of Congressional term limits. I gave them my full support and endorsement for their efforts. #DrainTheSwamp;04-30-2018 18:54:28;24315;100560;false;Positive
"Numerous countries are being considered for the MEETING but would Peace House/Freedom House on the Border of North &amp; South Korea be a more Representative Important and Lasting site than a third party country? Just asking!";04-30-2018 12:19:33;19322;85587;false;Positive
“Trump’s Triumphs are driving his critics Crazy!” Thank you Steve Hilton @NextRevFNC just want to do what is right for our wonderful U.S.A.;04-30-2018 01:29:09;14436;69988;false;Positive
Just got recent Poll - much higher than President O at same time....Well much more has been accomplished!;04-29-2018 11:54:02;26365;140562;false;Positive
Great evening last night in Washington Michigan. The enthusiasm knowledge and love in that room was unreal. To the many thousands of people who couldn’t get in I cherish you....and will be back!;04-29-2018 11:21:32;20868;105419;false;Positive
Look forward to being in the Great State of Michigan tonight. Major business expansion and jobs pouring into your State. Auto companies expanding at record pace. Big crowd tonight will be live on T.V.;04-28-2018 13:54:16;18690;94843;false;Positive
Just had a long and very good talk with President Moon of South Korea. Things are going very well time and location of meeting with North Korea is being set. Also spoke to Prime Minister Abe of Japan to inform him of the ongoing negotiations.;04-28-2018 13:45:20;23637;98466;false;Positive
....great people of Montana will not stand for this kind of slander when talking of a great human being. Admiral Jackson is the kind of man that those in Montana would most respect and admire and now for no reason whatsoever his reputation has been shattered. Not fair Tester!;04-28-2018 12:15:49;21498;91396;false;Positive
"RT @WhiteHouse: ""So today on behalf of the United States I want to thank every Olympian and Paralympian... To every member of @TeamUSA I…";04-27-2018 20:05:03;9405;0;true;Positive
"RT @WhiteHouse: ""Today I am honored to welcome Chancellor Angela Merkel back to the White House... We are also pleased to have our newly co…";04-27-2018 19:22:02;7104;0;true;Positive
Just Out: House Intelligence Committee Report released. “No evidence” that the Trump Campaign “colluded coordinated or conspired with Russia.” Clinton Campaign paid for Opposition Research obtained from Russia- Wow! A total Witch Hunt! MUST END NOW!;04-27-2018 14:14:58;33502;118870;false;Positive
Look forward to meeting with Chancellor Angela Merkel of Germany today. So much to discuss so little time! It will be good for both of our great countries!;04-27-2018 13:28:21;11485;71847;false;Positive
"Kanye West has performed a great service to the Black Community - Big things are happening and eyes are being opened for the first time in Decades - Legacy Stuff! Thank you also to Chance and Dr. Darrell Scott they really get it (lowest Black &amp; Hispanic unemployment in history).";04-27-2018 13:11:14;34250;144157;false;Positive
Please do not forget the great help that my good friend President Xi of China has given to the United States particularly at the Border of North Korea. Without him it would have been a much longer tougher process!;04-27-2018 11:50:02;24857;111034;false;Positive
So great to have Staff Sgt. Dan Nevins and the incredible WOUNDED WARRIORS with me in the White House yesterday. These are truly brave and special people! @foxandfriends;04-27-2018 11:23:27;11885;63488;false;Positive
KOREAN WAR TO END! The United States and all of its GREAT people should be very proud of what is now taking place in Korea!;04-27-2018 10:55:48;39184;131915;false;Positive
"The U.S. has put together a STRONG bid w/ Canada &amp; Mexico for the 2026 World Cup. It would be a shame if countries that we always support were to lobby against the U.S. bid. Why should we be supporting these countries when they don’t support us (including at the United Nations)?";04-26-2018 23:39:32;22798;98093;false;Positive
Loved being on @foxandfriends this morning. Great show!;04-26-2018 22:17:45;11253;81450;false;Positive
I will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!;04-26-2018 01:41:03;14082;76531;false;Positive
Thank you Kanye very cool! https://t.co/vRIC87M21X;04-25-2018 19:33:07;108482;360127;false;Positive
RT @realDonaldTrump: Democrats are obstructing good (hopefully great) people wanting to give up a big portion of their life to work for our…;04-25-2018 19:02:39;26560;0;true;Positive
.@FLOTUS did a spectacular job hosting the President of France @EmmanuelMacron and his wife Brigitte. Every detail was done to perfection. The State Dining Room never looked more beautiful and Washington is abuzz over what an incredible job Melania did.;04-25-2018 14:10:30;17310;90506;false;Positive
Busy day planned.  Looking forward to watching President Macron of France address a Joint Session of Congress today. This is a great honor and seldom allowed to be done...he will be GREAT!;04-25-2018 13:29:16;12843;73726;false;Positive
Congratulations to Republican Debbie Lesko on her big win in the Special Election for Arizona House seat. Debbie will do a Great Job! Press is so silent.;04-25-2018 11:53:36;23279;112033;false;Positive
RT @realDonaldTrump: Our two great republics are linked together by the timeless bonds of history culture and destiny. We are people who…;04-24-2018 20:19:04;1503;0;true;Positive
Our two great republics are linked together by the timeless bonds of history culture and destiny. We are people who cherish our values protect our civilization and recognize the image of God in every human soul. https://t.co/01c8iSGDB3;04-24-2018 20:18:39;20473;93543;false;Positive
Today @FLOTUS Melania and I were honored to welcome French President @EmmanuelMacron and Mrs. Brigitte Macron to the @WhiteHouse. We look forward to hosting them at tonight's State Dinner in their honor. https://t.co/wGJcWqSzyP;04-24-2018 19:18:25;9289;48598;false;Positive
.@JimRenacci has worked so hard on Tax Reductions Illegal Immigration the Border and Crime. I need Jim very badly to help our agenda and to keep MAKING AMERICA GREAT AGAIN! He will be a fantastic Senator for the Great State of Ohio and has my full endorsement!;04-24-2018 19:06:57;14722;59274;false;Positive
.@JimRenacci has worked so hard on Tax Reductions Illegal Immigration the Border and Crime. I need Jim very badly to help our agenda and to keep MAKING AMERICA GREAT AGAIN! He will be a fantastic  Senator for the Great State of Ohio and has my full endorsement!;04-24-2018 19:05:40;8;10;false;Positive
“President Trump Calls the U.S.-France Relationship ‘Unbreakable.’ History Shows He’s Right.” https://t.co/L0gT4rvaJO;04-24-2018 18:41:09;10676;54374;false;Positive
Arizona please get out today and vote @DebbieLesko for Congress in #AZ08. Strong on Border Immigration and Crime. Great on the Military. Time is ticking down - get out and VOTE today. We need Debbie in Congress!;04-24-2018 18:02:04;16662;60492;false;Positive
Having great meetings and discussions with my friend President @EmmanuelMacron of France. We are in the midst of meetings on Iran Syria and Trade. We will be holding a joint press conference shortly here at the @WhiteHouse. ???????? https://t.co/ju1FXhgjaD;04-24-2018 16:43:34;10371;51169;false;Positive
RT @mike_pence: PROUD to support our friend @VoteMarsha for US Senate representing Tennessee. Marsha Blackburn is a rock-ribbed conservativ…;04-24-2018 10:42:47;9148;0;true;Positive
Here’s a great stat - since January 2017 the number of people forced to use food stamps is down 1.9 million. The American people are finally back to work!;04-23-2018 20:08:34;32499;153073;false;Positive
Mexico whose laws on immigration are very tough must stop people from going through Mexico and into the U.S. We may make this a condition of the new NAFTA Agreement. Our Country cannot accept what is happening! Also we must get Wall funding fast.;04-23-2018 13:51:17;25397;105789;false;Positive
Hard to believe Obstructionists May vote against Mike Pompeo for Secretary of State. The Dems will not approve hundreds of good people including the Ambassador to Germany. They are maxing out the time on approval process for all never happened before. Need more Republicans!;04-23-2018 13:15:19;22976;89589;false;Positive
Thank you to the incredible Law Enforcement Officers from the Palm Beach County Sheriff’s Office. They keep us safe and are very cool about it! https://t.co/NlhxpPwmzT;04-22-2018 20:12:26;17438;94024;false;Positive
“I can die happy now with Trump Job performance” stated Mary Matalin. “A great overall President stunning!” Thank you Mary.;04-22-2018 14:06:06;16998;90818;false;Positive
....We are a long way from conclusion on North Korea maybe things will work out and maybe they won’t - only time will tell....But the work I am doing now should have been done a long time ago!;04-22-2018 13:02:01;22147;105896;false;Positive
"Sleepy Eyes Chuck Todd of Fake News NBC just stated that we have given up so much in our negotiations with North Korea and they have given up nothing. Wow we haven’t given up anything &amp; they have agreed to denuclearization (so great for World) site closure &amp; no more testing!";04-22-2018 12:50:22;25880;102093;false;Positive
“GOP Lawmakers asking Sessions to Investigate Comey and Hillary Clinton.” @FoxNews   Good luck with that request!;04-22-2018 12:22:37;20691;88423;false;Positive
Sylvester Stallone called me with the story of heavyweight boxing champion Jack Johnson. His trials and tribulations were great his life complex and controversial. Others have looked at this over the years most thought it would be done but yes I am considering a Full Pardon!;04-21-2018 19:02:05;20974;99454;false;Positive
Heading to the Southern White House to watch the Funeral Service of Barbara Bush. First Lady Melania has arrived in Houston to pay our respects. Will be a beautiful day!;04-21-2018 15:47:48;12057;78457;false;Positive
Fantastic crowd and great people yesterday in Key West Florida. Thank you! https://t.co/HqOUFgmbQS;04-21-2018 15:44:55;14254;68540;false;Positive
A message from Kim Jong Un: “North Korea will stop nuclear tests and launches of intercontinental ballistic missiles.”Also will “Shut down a nuclear test site in the country’s Northern Side to prove the vow to suspend nuclear tests.” Progress being made for all!;04-21-2018 03:22:51;32196;142801;false;Positive
North Korea has agreed to suspend all Nuclear Tests and close up a major test site. This is very good news for North Korea and the World - big progress! Look forward to our Summit.;04-20-2018 22:50:34;47104;186584;false;Positive
Looks like OPEC is at it again. With record amounts of Oil all over the place including the fully loaded ships at sea Oil prices are artificially Very High! No good and will not be accepted!;04-20-2018 10:57:12;24016;98423;false;Positive
So exciting! I have agreed to be the Commencement Speaker at our GREAT Naval Academy on May 25th in Annapolis Maryland. Looking forward to being there.;04-20-2018 10:43:17;19922;116645;false;Positive
James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION. Also he leaked classified information. WOW! Will the Witch Hunt continue?;04-20-2018 03:37:26;25606;102238;false;Positive
Mike Pompeo is outstanding. First in his class at West Point. A top student at Harvard Law School. A success at whatever he has done. We need the Senate to approve Mike ASAP. He will be a great Secretary of State!;04-19-2018 20:31:56;22573;91221;false;Positive
...Hopefully the Senate will not leave Washington until our Ambassadors Judges and the people who make Washington work are approved. The Democrats are Obstructing the process and we need these people approved for the good of our Country!;04-19-2018 20:27:01;19047;73558;false;Positive
Democrats are obstructing good (hopefully great) people wanting to give up a big portion of their life to work for our Government hence the American People. They are “slow walking” all of my nominations - hundreds of people. At this rate it would take 9 years for all approvals!;04-19-2018 20:21:16;26560;96880;false;Positive
.@MarshaBlackburn is a wonderful woman who has always been there when we have needed her. Great on the Military Border Security and Crime. Loves and works hard for the people of Tennessee. She has my full endorsement and I will be there to campaign with her!;04-19-2018 18:40:12;15067;60440;false;Positive
THANK YOU #JIATFSouth @Norad_Northcom @southcomwatch and @DHSgov. Keep up the GREAT work! https://t.co/3v2uG6Jp1T;04-19-2018 18:33:24;6654;31541;false;Positive
Great meeting with Prime Minister Abe of Japan who has just left Florida. Talked in depth about North Korea Military and Trade. Good things will happen!;04-19-2018 14:45:14;14185;71419;false;Positive
It was my great honor to host my friend @JPN_PMO @AbeShinzo and his delegation at Mar-a-Lago for the past two days. Lots accomplished thank you! #Success???????? https://t.co/2NnItfwfBl;04-19-2018 02:58:21;14662;65149;false;Positive
RT @StateDept: .@POTUS Trump thanks Prime Minister @AbeShinzo for his support discusses U.S.-Japan cooperation on #NorthKorea defense an…;04-19-2018 02:12:13;8436;0;true;Positive
Great working luncheon with U.S. and Japanese Delegations this afternoon! https://t.co/ywU2CEih8b;04-18-2018 21:32:53;12621;64968;false;Positive
Prime Minister @AbeShinzo of Japan and myself this morning building an even deeper and better relationship while playing a quick round of golf at Trump International Golf Club. https://t.co/YqU7pHiFoU;04-18-2018 21:00:12;15309;75781;false;Positive
Best wishes to Prime Minister @Netanyahu and all of the people of Israel on the 70th Anniversary of your Great Independence. We have no better friends anywhere. Looking forward to moving our Embassy to Jerusalem next month!;04-18-2018 16:30:39;23897;102082;false;Positive
Mike Pompeo met with Kim Jong Un in North Korea last week. Meeting went very smoothly and a good relationship was formed. Details of Summit are being worked out now. Denuclearization will be a great thing for World but also for North Korea!;04-18-2018 10:42:23;25827;101034;false;Positive
While Japan and South Korea would like us to go back into TPP I don’t like the deal for the United States. Too many contingencies and no way to get out if it doesn’t work. Bilateral deals are far more efficient profitable and better for OUR workers. Look how bad WTO is to U.S.;04-18-2018 02:49:28;18159;78191;false;Positive
Pastor Andrew Brunson a fine gentleman and Christian leader in the United States is on trial and being persecuted in Turkey for no reason. They call him a Spy but I am more a Spy than he is. Hopefully he will be allowed to come home to his beautiful family where he belongs!;04-18-2018 02:32:04;20638;84836;false;Positive
It is my great honor to host @JPN_PMO @AbeShinzo! https://t.co/QxMpCGRycF;04-18-2018 02:26:57;9760;42306;false;Positive
"RT @IvankaTrump: Great to be with Secretary Mnuchin &amp; former Governor Sununu in Derry NH on #TaxDay to highlight the tremendous benefits o…";04-17-2018 21:55:25;5552;0;true;Positive
Welcome Prime Minister Abe! https://t.co/538EYyfWDq;04-17-2018 20:45:36;14549;58345;false;Positive
Getting ready to meet Prime Minister Abe of Japan a truly fine gentleman!;04-17-2018 17:51:52;10438;67802;false;Positive
RT @NFIB: Our Optimism Index reached its 16th consecutive month in the top 5% of 45 years of survey readings – and it was the 1st time in 3…;04-17-2018 17:26:54;4381;0;true;Positive
RT @WhiteHouse: Out with the old in with the new: tax cuts and reforms that look out for hardworking taxpayers ??https://t.co/eEHFWkG8xm;04-17-2018 17:24:46;5154;0;true;Positive
RT @WhiteHouse: President Trump's tax cuts will generate greater economic opportunities for all. https://t.co/kcTsLNN1Uu;04-17-2018 16:46:34;4672;0;true;Positive
So many people are seeing the benefits of the Tax Cut Bill. Everyone is talking really nice to see!;04-17-2018 12:24:36;15379;85300;false;Positive
Looks like Jerry Brown and California are not looking for safety and security along their very porous Border. He cannot come to terms for the National Guard to patrol and protect the Border. The high crime rate will only get higher. Much wanted Wall in San Diego already started!;04-17-2018 12:24:36;15332;64910;false;Positive
Employment is up Taxes are DOWN. Enjoy!;04-17-2018 12:24:34;24896;124448;false;Positive
RT @IvankaTrump: Looking forward to traveling to Manchester NH tomorrow with Sec @stevenmnuchin1 to celebrate the last #TaxDay under the o…;04-17-2018 00:57:41;6651;0;true;Positive
RT @GOP: Our entire RNC family offers prayers of comfort and peace for Barbara Bush and the entire Bush family.;04-17-2018 00:56:44;5064;0;true;Positive
RT @GOPChairwoman: Comey’s misconduct once led both Republicans and Democrats to call for his firing. His reputation rehabilitation book to…;04-17-2018 00:56:41;7574;0;true;Positive
RT @realDonaldTrump: So proud of our great Military which will soon be after the spending of billions of fully approved dollars the fines…;04-15-2018 11:25:12;30407;0;true;Positive
So proud of our great Military which will soon be after the spending of billions of fully approved dollars the finest that our Country has ever had. There won’t be anything or anyone even close!;04-14-2018 12:29:48;30430;160818;false;Positive
A perfectly executed strike last night. Thank you to France and the United Kingdom for their wisdom and the power of their fine Military. Could not have had a better result. Mission Accomplished!;04-14-2018 12:21:00;43580;200070;false;Positive
We are bringing back our factories we are bringing back our jobs and we are bringing back those four beautiful words: MADE IN THE USA! https://t.co/grABSrYUBX;04-13-2018 16:21:16;25345;111025;false;Positive
America’s greatest treasure is our people – and my Administration HEARS YOUR VOICE and HAS YOUR BACK. We are fighting to give every American a future of dignity purpose and pride. AMERICAN SPIRIT is back! #TaxCuts https://t.co/oSGZe0irBf;4.12.2018 19:03;19953;81129;false;Positive
